offered_rps_per_target	repetitions	scheduler_valid_repetitions	median_aggregate_useful_rps	median_offered_success_ratio	median_latency_p50_us	median_latency_p99_us	latency_p99_cv	median_in_flight_drop_ratio	max_schedule_drop_ratio	median_drain_ratio	useful_rps_cv	median_average_target_cpu_cores	max_endpoint_useful_rps_cv	observed_target_cpusets	total_errors_within_plateau	total_health_event_violations
41	5	5	40.99444444444445	0.9998644986449865	24620	30358	0.018554027372232048	0.0	0.0	0.00013550135501355014	0.0	0.9737499333333334		['5,149']	0	0
42	5	5	41.47222222222222	0.9874338624338624	1155941	2245313	0.19162224825399238	0.0	0.0	0.012566137566137565	0.0026514923113153425	0.9980498444444444		['5,149']	0	1
